"","county_name","percent_act_ela_below_basic","average_act_reading_percentile","percent_12th_grade_ell","percent_graduates","percent_wsas_ela_below_basic_3_5","year","unemployment"
"1","ADAMS",34.4,36,0,91.5,37,"2015-2016",4.2
"2","ASHLAND",21,42,0,89,26.4,"2015-2016",5
"3","BARRON",26.4,42,3.4,88.4,21.2,"2015-2016",3.6
"4","BAYFIELD",28.6,42,0,55.2,25.5,"2015-2016",5.9
"5","BROWN",24.4,48,3.6,90.2,22.1,"2015-2016",2.5
"6","BUFFALO",21.2,48,0,96.1,16.6,"2015-2016",3.2
"7","BURNETT",29.6,42,0.9,77.4,21.8,"2015-2016",5.1
"8","CALUMET",23,48,0.9,94.3,18.6,"2015-2016",2.2
"9","CHIPPEWA",24.1,48,0.4,78.2,17.6,"2015-2016",3.4
"10","CLARK",33.5,42,2.6,96.2,23,"2015-2016",3
"11","COLUMBIA",18.8,48,1.2,72.8,18.5,"2015-2016",2.3
"12","CRAWFORD",16.9,48,0,96,14.4,"2015-2016",4.1
"13","DANE",18.1,61,4.4,84.8,20.8,"2015-2016",1.8
"14","DODGE",19.5,48,2,90.6,16.3,"2015-2016",2.3
"15","DOOR",14.3,55,1,94.1,14.3,"2015-2016",4
"16","DOUGLAS",23.9,48,0.2,84,22,"2015-2016",4.1
"17","DUNN",21.6,48,1.8,91.9,22,"2015-2016",2.9
"18","EAU CLAIRE",15.6,55,1.7,86.8,16.8,"2015-2016",2.2
"19","FLORENCE",23.3,42,0,83.3,17.6,"2015-2016",4
"20","FOND DU LAC",24.8,42,1.4,79.8,17.9,"2015-2016",2.3
"21","FOREST",36.6,36,0,90.5,22.2,"2015-2016",5.7
"22","GRANT",24.3,48,0.2,95.3,16.4,"2015-2016",2.4
"23","GREEN",21.4,48,0.8,94.7,19.1,"2015-2016",2.2
"24","GREEN LAKE",26.6,48,0.7,95.5,16.6,"2015-2016",2.9
"25","IOWA",18.5,55,0,96.9,21.6,"2015-2016",2.3
"26","IRON",35.3,42,0,97,8.9,"2015-2016",7.9
"27","JACKSON",26.4,42,2,91.3,27.4,"2015-2016",3.2
"28","JEFFERSON",22.7,48,2.5,95,19.6,"2015-2016",2.5
"29","JUNEAU",32.7,42,0,88.5,24.8,"2015-2016",2.8
"30","KENOSHA",29.4,42,3.5,88.3,18.7,"2015-2016",3
"31","KEWAUNEE",21,48,0.7,91.9,10.1,"2015-2016",2.6
"32","LA CROSSE",20.8,48,1.6,93.2,14.8,"2015-2016",2.2
"33","LAFAYETTE",23.5,48,0,91.8,16.8,"2015-2016",1.8
"34","LANGLADE",34.2,42,0,91.2,25.7,"2015-2016",4
"35","LINCOLN",24.3,42,0.7,92.2,24.3,"2015-2016",3.4
"36","MANITOWOC",23.1,48,2.2,88.3,15,"2015-2016",2.9
"37","MARATHON",22.1,48,1.5,92.6,17.4,"2015-2016",2.5
"38","MARINETTE",28.3,42,0.2,92,20.6,"2015-2016",3.9
"39","MARQUETTE",31.3,42,0.7,91.4,23.2,"2015-2016",3.2
"40","MENOMINEE",53.7,21,0,85.1,61.3,"2015-2016",6.8
"41","MILWAUKEE",30.9,42,3.6,75.5,36.1,"2015-2016",3.1
"42","MONROE",24.4,42,1.1,94.4,19.6,"2015-2016",2.3
"43","OCONTO",27,42,0.9,92.6,16.1,"2015-2016",3.4
"44","ONEIDA",23.5,48,0,91.5,21.6,"2015-2016",4.2
"45","OUTAGAMIE",18.8,55,1.4,92.5,18.6,"2015-2016",2.5
"46","OZAUKEE",10.6,66,0.3,96.3,7,"2015-2016",2.1
"47","PEPIN",10.2,55,0.9,93.7,19.5,"2015-2016",3.1
"48","PIERCE",13.2,55,0.3,92.5,12.2,"2015-2016",2.9
"49","POLK",23.6,48,0.4,94.1,17.8,"2015-2016",4.1
"50","PORTAGE",21.9,48,2.1,87.7,19,"2015-2016",2.7
"51","PRICE",23.3,42,1.2,92.4,18.5,"2015-2016",3.9
"52","RACINE",29.5,42,4.2,71.7,34.8,"2015-2016",3.2
"53","RICHLAND",27.7,42,3.2,73.5,26.5,"2015-2016",2.3
"54","ROCK",28.2,42,3.1,91.7,21.7,"2015-2016",2.8
"55","RUSK",28.4,42,0,90.7,22.4,"2015-2016",3.9
"56","SAINT CROIX",15,55,0.4,95.9,12.8,"2015-2016",2.8
"57","SAUK",20.7,48,2.1,92.7,21.8,"2015-2016",2.4
"58","SAWYER",33.8,42,0.5,80,15.6,"2015-2016",5.4
"59","SHAWANO",26.3,48,0.2,88.9,26.4,"2015-2016",3.1
"60","SHEBOYGAN",22.5,48,2,92.8,20.8,"2015-2016",2.2
"61","TAYLOR",30.2,42,0.8,88.6,16.9,"2015-2016",3.3
"62","TREMPEALEAU",29.6,42,1.7,95.6,20.6,"2015-2016",2.8
"63","VERNON",17.4,48,0,95.8,17.8,"2015-2016",2.7
"64","VILAS",21.3,48,0,99.1,20.2,"2015-2016",5.2
"65","WALWORTH",24.4,48,2.8,94,19.4,"2015-2016",2.5
"66","WASHBURN",25.9,48,0,87.6,25.6,"2015-2016",4.2
