"","county_name","percent_act_ela_below_basic","average_act_reading_percentile","percent_12th_grade_ell","percent_graduates","percent_wsas_ela_below_basic_3_5","year","unemployment"
"1","ADAMS",40.4,33.5,0.4,91.55,34.05,"2015-2017",4.2
"2","ASHLAND",28.7,42,0,89.05,22.9,"2015-2017",5
"3","BARRON",26.5,45,3.75,90.3,19.9,"2015-2017",3.6
"4","BAYFIELD",29.5,45,0,75.1,19.2,"2015-2017",5.9
"5","BROWN",27.15,48,4.65,90.1,21.95,"2015-2017",2.5
"6","BUFFALO",21.95,48,0.35,96.6,15.2,"2015-2017",3.2
"7","BURNETT",31.35,42,0.95,80.2,19.1,"2015-2017",5.1
"8","CALUMET",25.05,48,1.15,95.45,17.05,"2015-2017",2.2
"9","CHIPPEWA",27.15,48,0.25,84.25,17.75,"2015-2017",3.4
"10","CLARK",33.2,42,2.5,96.15,22.05,"2015-2017",3
"11","COLUMBIA",21.9,48,0.8,83.45,17.9,"2015-2017",2.3
"12","CRAWFORD",25.3,42,0,95,14.45,"2015-2017",4.1
"13","DANE",19.45,61,4.5,87.2,20.6,"2015-2017",1.8
"14","DODGE",22.65,48,1.8,91.05,15.1,"2015-2017",2.3
"15","DOOR",15.25,55,0.65,94.75,14.1,"2015-2017",4
"16","DOUGLAS",26.95,45,0.3,86.5,19.9,"2015-2017",4.1
"17","DUNN",22.55,48,1.6,91.15,18.95,"2015-2017",2.9
"18","EAU CLAIRE",17.65,55,1.45,86.85,16,"2015-2017",2.2
"19","FLORENCE",NA,NA,0,88.55,18.55,"2015-2017",4
"20","FOND DU LAC",28.25,42,1.45,84.7,17.15,"2015-2017",2.3
"21","FOREST",39.3,36,0,91.8,25.2,"2015-2017",5.7
"22","GRANT",23.55,48,0.3,94.9,15.95,"2015-2017",2.4
"23","GREEN",23.75,48,0.85,95.15,16.9,"2015-2017",2.2
"24","GREEN LAKE",27.75,45,0.55,94.6,16,"2015-2017",2.9
"25","IOWA",19.2,55,0.4,97.4,19.85,"2015-2017",2.3
"26","IRON",35.75,42,0,96.4,7.15,"2015-2017",7.9
"27","JACKSON",30.25,42,1.45,90.5,25.55,"2015-2017",3.2
"28","JEFFERSON",23.7,48,2.3,83.2,19.15,"2015-2017",2.5
"29","JUNEAU",33.3,42,0,89,23.4,"2015-2017",2.8
"30","KENOSHA",30.5,42,3.55,88.25,18.15,"2015-2017",3
"31","KEWAUNEE",22.85,48,0.5,93.3,10.2,"2015-2017",2.6
"32","LA CROSSE",20.6,51.5,1.45,92.95,13.4,"2015-2017",2.2
"33","LAFAYETTE",23.4,48,0.2,93.8,16.9,"2015-2017",1.8
"34","LANGLADE",32.15,42,0.4,90.35,24.3,"2015-2017",4
"35","LINCOLN",29.3,42,0.65,93.05,22.9,"2015-2017",3.4
"36","MANITOWOC",24,48,1.8,89.5,15.95,"2015-2017",2.9
"37","MARATHON",22.2,48,1.4,93.05,16.8,"2015-2017",2.5
"38","MARINETTE",30.3,42,0.2,92,20.4,"2015-2017",3.9
"39","MARQUETTE",31.65,39,1.7,89.85,24.25,"2015-2017",3.2
"40","MENOMINEE",61.15,21,0,81.35,60.5,"2015-2017",6.8
"41","MILWAUKEE",32.45,39,3.4,76.1,35.6,"2015-2017",3.1
"42","MONROE",28.6,42,0.8,94.65,19.5,"2015-2017",2.3
"43","OCONTO",28.45,45,0.6,92.4,14.9,"2015-2017",3.4
"44","ONEIDA",25.4,48,0,91.3,21.15,"2015-2017",4.2
"45","OUTAGAMIE",20.75,55,1.7,91.45,17.55,"2015-2017",2.5
"46","OZAUKEE",10.9,66,0.3,96.35,7.2,"2015-2017",2.1
"47","PEPIN",15.9,55,0.45,95.65,18.45,"2015-2017",3.1
"48","PIERCE",15.5,55,0.3,94.15,11.15,"2015-2017",2.9
"49","POLK",23.8,48,0.4,94.1,16.95,"2015-2017",4.1
"50","PORTAGE",25.15,48,2.25,89.6,17.7,"2015-2017",2.7
"51","PRICE",21.95,45,1.3,93.45,18.95,"2015-2017",3.9
