"county_name","count_act_ela_below_basic","count_act_ela_basic_or_below_basic","count_act_students","percent_act_ela_below_basic","percent_act_ela_basic_or_below_basic","average_act_english_percentile","average_act_reading_percentile","count_12th_grade_ell","count_12th_graders","percent_12th_grade_ell","count_graduates","count_in_grad_cohort","percent_graduates","count_wsas_ela_below_basic_3_8","count_wsas_ela_basic_or_below_basic_3_8","count_wsas_students_3_8","percent_wsas_ela_below_basic_3_8","percent_wsas_ela_basic_or_below_basic_3_8","count_wsas_ela_below_basic_3_5","count_wsas_ela_basic_or_below_basic_3_5","count_wsas_students_3_5","percent_wsas_ela_below_basic_3_5","percent_wsas_ela_basic_or_below_basic_3_5","count_wsas_ela_below_basic_6_8","count_wsas_ela_basic_or_below_basic_6_8","count_wsas_students_6_8","percent_wsas_ela_below_basic_6_8","percent_wsas_ela_basic_or_below_basic_6_8"
"Adams","43","89",125,"34.4","71.2","36","36","0",122,"0","107",117,"91.5","239","456",662,"36.1","68.9","115","212",311,"37","68.2","124","244",351,"35.3","69.5"
"Ashland","41","118",195,"21","60.5","40","42","0",234,"0","187",210,"89","303","758",1168,"25.9","64.9","156","372",591,"26.4","62.9","147","386",577,"25.5","66.9"
"Barron","149","346",565,"26.4","61.2","40","42","20",588,"3.4","479",542,"88.4","594","1762",3173,"18.7","55.5","339","885",1602,"21.2","55.2","255","877",1571,"16.2","55.8"
"Bayfield","38","78",133,"28.6","58.6","40","42","0",141,"0","74",134,"55.2","138","365",635,"21.7","57.5","80","182",314,"25.5","58","58","183",321,"18.1","57"
"Brown","762","1708",3128,"24.4","54.6","45","48","117",3275,"3.6","2795",3097,"90.2","4326","10921",19117,"22.6","57.1","2118","5374",9568,"22.1","56.2","2208","5547",9549,"23.1","58.1"
"Buffalo","29","77",137,"21.2","56.2","45","48","0",157,"0","146",152,"96.1","131","448",889,"14.7","50.4","69","202",416,"16.6","48.6","62","246",473,"13.1","52"
"Burnett","81","177",274,"29.6","64.6","40","42","3",322,"0.9","209",270,"77.4","214","567",965,"22.2","58.8","95","259",436,"21.8","59.4","119","308",529,"22.5","58.2"
"Calumet","64","161",278,"23","57.9","45","48","3",316,"0.9","300",318,"94.3","277","878",1677,"16.5","52.4","154","425",828,"18.6","51.3","123","453",849,"14.5","53.4"
"Chippewa","161","407",669,"24.1","60.8","40","48","3",678,"0.4","524",670,"78.2","687","2204",3915,"17.5","56.3","355","1117",2018,"17.6","55.4","332","1087",1897,"17.5","57.3"
"Clark","121","233",361,"33.5","64.5","40","42","10",382,"2.6","357",371,"96.2","450","1300",2056,"21.9","63.2","236","663",1024,"23","64.7","214","637",1032,"20.7","61.7"
"Columbia","128","353",681,"18.8","51.8","45","48","9",748,"1.2","522",717,"72.8","733","2228",3942,"18.6","56.5","363","1091",1958,"18.5","55.7","370","1137",1984,"18.6","57.3"
"Crawford","26","79",154,"16.9","51.3","45","48","0",174,"0","166",173,"96","142","509",913,"15.6","55.8","66","237",458,"14.4","51.7","76","272",455,"16.7","59.8"
"Dane","975","2344",5399,"18.1","43.4","58","61","274",6243,"4.4","4694",5535,"84.8","6683","16826",32790,"20.4","51.3","3466","8645",16675,"20.8","51.8","3217","8181",16115,"20","50.8"
"Dodge","121","352",621,"19.5","56.7","45","48","12",613,"2","523",577,"90.6","618","1945",3533,"17.5","55.1","285","899",1747,"16.3","51.5","333","1046",1786,"18.6","58.6"
"Door","41","136",287,"14.3","47.4","58","55","3",303,"1","271",288,"94.1","180","713",1506,"12","47.3","104","362",729,"14.3","49.7","76","351",777,"9.8","45.2"
"Douglas","109","247",456,"23.9","54.2","45","48","1",488,"0.2","389",463,"84","568","1526",2615,"21.7","58.4","291","749",1321,"22","56.7","277","777",1294,"21.4","60"
"Dunn","83","207",384,"21.6","53.9","52","48","9",509,"1.8","440",479,"91.9","578","1574",2613,"22.1","60.2","290","787",1317,"22","59.8","288","787",1296,"22.2","60.7"
"Eau Claire","147","433",945,"15.6","45.8","52","55","19",1113,"1.7","894",1030,"86.8","1049","3225",6063,"17.3","53.2","519","1592",3098,"16.8","51.4","530","1633",2965,"17.9","55.1"
"Florence","7","25",30,"23.3","83.3","36","42","0",32,"0","25",30,"83.3","26","85",158,"16.5","53.8","13","40",74,"17.6","54.1","13","45",84,"15.5","53.6"
"Fond du Lac","273","680",1102,"24.8","61.7","40","42","15",1108,"1.4","837",1049,"79.8","1117","3473",6514,"17.1","53.3","589","1723",3283,"17.9","52.5","528","1750",3231,"16.3","54.2"
"Forest","37","77",101,"36.6","76.2","36","36","0",125,"0","105",116,"90.5","145","397",652,"22.2","60.9","74","208",334,"22.2","62.3","71","189",318,"22.3","59.4"
"Grant","122","300",503,"24.3","59.6","45","48","1",542,"0.2","511",536,"95.3","508","1650",2965,"17.1","55.6","247","816",1505,"16.4","54.2","261","834",1460,"17.9","57.1"
"Green","86","234",401,"21.4","58.4","45","48","3",399,"0.8","373",394,"94.7","459","1386",2431,"18.9","57","223","664",1169,"19.1","56.8","236","722",1262,"18.7","57.2"
"Green Lake","67","142",252,"26.6","56.3","45","48","2",276,"0.7","256",268,"95.5","226","718",1281,"17.6","56","100","319",604,"16.6","52.8","126","399",677,"18.6","58.9"
"Iowa","46","124",248,"18.5","50","52","55","0",264,"0","251",259,"96.9","270","815",1479,"18.3","55.1","160","445",741,"21.6","60.1","110","370",738,"14.9","50.1"
"Iron","18","36",51,"35.3","70.6","40","42","0",66,"0","64",66,"97","34","138",335,"10.1","41.2","15","60",168,"8.9","35.7","19","78",167,"11.4","46.7"
"Jackson","57","149",216,"26.4","69","40","42","5",256,"2","221",242,"91.3","342","870",1372,"24.9","63.4","188","442",687,"27.4","64.3","154","428",685,"22.5","62.5"
"Jefferson","229","554",1010,"22.7","54.9","45","48","26",1044,"2.5","957",1007,"95","1044","2985",5251,"19.9","56.8","511","1447",2604,"19.6","55.6","533","1538",2647,"20.1","58.1"
"Juneau","91","191",278,"32.7","68.7","36","42","0",298,"0","255",288,"88.5","387","1051",1593,"24.3","66","198","513",798,"24.8","64.3","189","538",795,"23.8","67.7"
"Kenosha","674","1420",2294,"29.4","61.9","40","42","90",2563,"3.5","2023",2292,"88.3","2496","6699",12155,"20.5","55.1","1124","3206",6026,"18.7","53.2","1372","3493",6129,"22.4","57"
"Kewaunee","66","168",315,"21","53.3","52","48","2",297,"0.7","261",284,"91.9","185","752",1493,"12.4","50.4","69","309",680,"10.1","45.4","116","443",813,"14.3","54.5"
"La Crosse","245","625",1180,"20.8","53","52","48","20",1222,"1.6","1091",1170,"93.2","1127","3547",6919,"16.3","51.3","523","1665",3542,"14.8","47","604","1882",3377,"17.9","55.7"
"Lafayette","56","143",238,"23.5","60.1","45","48","0",196,"0","178",194,"91.8","224","735",1235,"18.1","59.5","108","394",643,"16.8","61.3","116","341",592,"19.6","57.6"
"Langlade","81","164",237,"34.2","69.2","36","42","0",246,"0","206",226,"91.2","294","780",1240,"23.7","62.9","155","373",603,"25.7","61.9","139","407",637,"21.8","63.9"
"Lincoln","83","199",341,"24.3","58.4","40","42","3",407,"0.7","345",374,"92.2","446","1133",1960,"22.8","57.8","230","532",945,"24.3","56.3","216","601",1015,"21.3","59.2"
"Manitowoc","188","477",813,"23.1","58.7","45","48","20",930,"2.2","745",844,"88.3","650","2346",4408,"14.7","53.2","330","1164",2194,"15","53.1","320","1182",2214,"14.5","53.4"
"Marathon","318","779",1441,"22.1","54.1","45","48","23",1586,"1.5","1393",1505,"92.6","1376","4306",8344,"16.5","51.6","724","2099",4161,"17.4","50.4","652","2207",4183,"15.6","52.8"
"Marinette","127","286",448,"28.3","63.8","40","42","1",472,"0.2","414",450,"92","560","1614",2616,"21.4","61.7","273","803",1323,"20.6","60.7","287","811",1293,"22.2","62.7"
"Marquette","41","87",131,"31.3","66.4","40","42","1",150,"0.7","139",152,"91.4","171","466",730,"23.4","63.8","86","241",371,"23.2","65","85","225",359,"23.7","62.7"
"Menominee","36","49",67,"53.7","73.1","16","21","0",74,"0","63",74,"85.1","220","313",338,"65.1","92.6","117","176",191,"61.3","92.1","103","137",147,"70.1","93.2"
"Milwaukee","2730","5290",8849,"30.9","59.8","36","42","332",9250,"3.6","7475",9903,"75.5","19959","38750",58260,"34.3","66.5","10819","20101",29930,"36.1","67.2","9140","18649",28330,"32.3","65.8"
"Monroe","128","328",524,"24.4","62.6","36","42","6",527,"1.1","487",516,"94.4","704","1932",3048,"23.1","63.4","307","933",1567,"19.6","59.5","397","999",1481,"26.8","67.5"
"Oconto","80","190",296,"27","64.2","40","42","3",320,"0.9","277",299,"92.6","323","1010",1824,"17.7","55.4","148","498",921,"16.1","54.1","175","512",903,"19.4","56.7"
"Oneida","92","212",392,"23.5","54.1","45","48","0",448,"0","400",437,"91.5","324","890",1549,"20.9","57.5","171","470",792,"21.6","59.3","153","420",757,"20.2","55.5"
"Outagamie","477","1261",2533,"18.8","49.8","52","55","39",2748,"1.4","2406",2601,"92.5","2731","8062",15128,"18.1","53.3","1395","3993",7490,"18.6","53.3","1336","4069",7638,"17.5","53.3"
"Ozaukee","120","369",1130,"10.6","32.7","69","66","4",1169,"0.3","1084",1126,"96.3","423","1843",5322,"7.9","34.6","178","809",2530,"7","32","245","1034",2792,"8.8","37"
"Pepin","9","47",88,"10.2","53.4","58","55","1",116,"0.9","104",111,"93.7","100","265",475,"21.1","55.8","51","148",261,"19.5","56.7","49","117",214,"22.9","54.7"
"Pierce","76","284",575,"13.2","49.4","52","55","2",580,"0.3","519",561,"92.5","428","1661",3402,"12.6","48.8","207","796",1690,"12.2","47.1","221","865",1712,"12.9","50.5"
"Polk","118","322",501,"23.6","64.3","40","48","2",553,"0.4","510",542,"94.1","525","1679",3231,"16.2","52","297","917",1671,"17.8","54.9","228","762",1560,"14.6","48.8"
"Portage","144","359",658,"21.9","54.6","45","48","15",729,"2.1","604",689,"87.7","726","2206",3918,"18.5","56.3","370","1083",1952,"19","55.5","356","1123",1966,"18.1","57.1"
"Price","34","76",146,"23.3","52.1","45","42","2",162,"1.2","146",158,"92.4","179","480",837,"21.4","57.3","74","216",401,"18.5","53.9","105","264",436,"24.1","60.6"
"Racine","646","1260",2189,"29.5","57.6","40","42","108",2548,"4.2","1656",2309,"71.7","4350","8123",12070,"36","67.3","2149","4155",6172,"34.8","67.3","2201","3968",5898,"37.3","67.3"
"Richland","36","84",130,"27.7","64.6","40","42","5",158,"3.2","114",155,"73.5","230","561",792,"29","70.8","104","270",392,"26.5","68.9","126","291",400,"31.5","72.8"
"Rock","593","1294",2104,"28.2","61.5","40","42","69",2200,"3.1","1867",2037,"91.7","2774","7073",11957,"23.2","59.2","1305","3427",6012,"21.7","57","1469","3646",5945,"24.7","61.3"
"Rusk","42","94",148,"28.4","63.5","40","42","0",166,"0","146",161,"90.7","171","484",793,"21.6","61","84","228",375,"22.4","60.8","87","256",418,"20.8","61.2"
"Saint Croix","159","494",1058,"15","46.7","52","55","4",1031,"0.4","974",1016,"95.9","771","2952",6408,"12","46.1","421","1487",3281,"12.8","45.3","350","1465",3127,"11.2","46.9"
"Sauk","167","427",805,"20.7","53","45","48","21",980,"2.1","869",937,"92.7","982","2848",5118,"19.2","55.6","543","1437",2489,"21.8","57.7","439","1411",2629,"16.7","53.7"
"Sawyer","50","94",148,"33.8","63.5","40","42","1",185,"0.5","144",180,"80","156","546",1041,"15","52.4","83","262",533,"15.6","49.2","73","284",508,"14.4","55.9"
"Shawano","108","258",410,"26.3","62.9","40","48","1",447,"0.2","361",406,"88.9","528","1457",2313,"22.8","63","308","783",1167,"26.4","67.1","220","674",1146,"19.2","58.8"
"Sheboygan","343","842",1524,"22.5","55.2","45","48","31",1515,"2","1355",1460,"92.8","1733","4680",8207,"21.1","57","856","2320",4112,"20.8","56.4","877","2360",4095,"21.4","57.6"
"Taylor","65","140",215,"30.2","65.1","40","42","2",245,"0.8","194",219,"88.6","210","766",1442,"14.6","53.1","126","422",747,"16.9","56.5","84","344",695,"12.1","49.5"
"Trempealeau","123","280",416,"29.6","67.3","40","42","8",458,"1.7","437",457,"95.6","553","1548",2571,"21.5","60.2","265","752",1287,"20.6","58.4","288","796",1284,"22.4","62"
"Vernon","52","163",298,"17.4","54.7","45","48","0",292,"0","273",285,"95.8","308","920",1735,"17.8","53","153","448",861,"17.8","52","155","472",874,"17.7","54"
"Vilas","23","59",108,"21.3","54.6","40","48","0",120,"0","113",114,"99.1","245","764",1318,"18.6","58","133","397",658,"20.2","60.3","112","367",660,"17","55.6"
"Walworth","292","671",1195,"24.4","56.2","45","48","36",1298,"2.8","1115",1186,"94","1412","3961",6937,"20.4","57.1","658","1910",3394,"19.4","56.3","754","2051",3543,"21.3","57.9"
"Washburn","49","100",189,"25.9","52.9","45","48","0",181,"0","155",177,"87.6","261","708",1147,"22.8","61.7","149","372",583,"25.6","63.8","112","336",564,"19.9","59.6"
