"school_district_code","school_district","count_act_ela_below_basic","count_act_ela_basic_or_below_basic","count_act_students","percent_act_ela_below_basic","percent_act_ela_basic_or_below_basic","average_act_english_percentile","average_act_reading_percentile","count_12th_grade_ell","count_12th_graders","percent_12th_grade_ell","count_graduates","count_in_grad_cohort","percent_graduates","count_wsas_ela_below_basic_3_8","count_wsas_ela_basic_or_below_basic_3_8","count_wsas_students_3_8","percent_wsas_ela_below_basic_3_8","percent_wsas_ela_basic_or_below_basic_3_8","count_wsas_ela_below_basic_3_5","count_wsas_ela_basic_or_below_basic_3_5","count_wsas_students_3_5","percent_wsas_ela_below_basic_3_5","percent_wsas_ela_basic_or_below_basic_3_5","count_wsas_ela_below_basic_6_8","count_wsas_ela_basic_or_below_basic_6_8","count_wsas_students_6_8","percent_wsas_ela_below_basic_6_8","percent_wsas_ela_basic_or_below_basic_6_8"
7,"Abbotsford","16","33",55,"29.1","60","40","42","5",47,"10.6","42",42,"100","74","207",330,"22.4","62.7","47","111",174,"27","63.8","27","96",156,"17.3","61.5"
14,"Adams-Friendship Area","51","82",110,"46.4","74.5","36","31","1",132,"0.8","120",131,"91.6","270","514",688,"39.2","74.7","107","241",344,"31.1","70.1","163","273",344,"47.4","79.4"
63,"Albany","9","20",30,"30","66.7","40","42","0",28,"0","28",28,"100","40","98",144,"27.8","68.1","16","45",66,"24.2","68.2","24","53",78,"30.8","67.9"
70,"Algoma","15","37",66,"22.7","56.1","58","48","0",71,"0","66",69,"95.7","48","177",282,"17","62.8","30","91",147,"20.4","61.9","18","86",135,"13.3","63.7"
84,"Alma","Redacted","Redacted",12,"Redacted","Redacted","Redacted","Redacted","Redacted",16,"Redacted","Redacted",16,"Redacted","12","53",105,"11.4","50.5","7","22",50,"14","44","5","31",55,"9.1","56.4"
91,"Alma Center","13","30",49,"26.5","61.2","45","42","1",40,"2.5","40",43,"93","51","136",257,"19.8","52.9","25","69",135,"18.5","51.1","26","67",122,"21.3","54.9"
105,"Almond-Bancroft","3","19",27,"11.1","70.4","40","42","2",21,"9.5","18",24,"75","28","97",161,"17.4","60.2","8","43",76,"10.5","56.6","20","54",85,"23.5","63.5"
112,"Altoona","22","59",103,"21.4","57.3","52","55","0",110,"0","100",110,"90.9","100","344",704,"14.2","48.9","68","189",358,"19","52.8","32","155",346,"9.2","44.8"
119,"Amery","21","40",98,"21.4","40.8","64","66","0",115,"0","104",113,"92","72","306",670,"10.7","45.7","34","144",326,"10.4","44.2","38","162",344,"11","47.1"
126,"Tomorrow River","31","63",96,"32.3","65.6","45","42","0",74,"0","73",73,"100","84","262",523,"16.1","50.1","46","131",291,"15.8","45","38","131",232,"16.4","56.5"
140,"Antigo Unified","59","139",213,"27.7","65.3","45","48","2",209,"1","176",198,"88.9","236","616",982,"24","62.7","98","280",467,"21","60","138","336",515,"26.8","65.2"
147,"Appleton Area","297","660",1273,"23.3","51.8","45","55","41",1292,"3.2","1053",1230,"85.6","1449","4010",6857,"21.1","58.5","752","1938",3345,"22.5","57.9","697","2072",3512,"19.8","59"
154,"Arcadia","33","65",94,"35.1","69.1","40","36","7",81,"8.6","70",77,"90.9","146","346",547,"26.7","63.3","85","193",282,"30.1","68.4","61","153",265,"23","57.7"
161,"Argyle","7","12",26,"26.9","46.2","52","48","Redacted",18,"Redacted","Redacted",19,"Redacted","29","74",122,"23.8","60.7","13","37",54,"24.1","68.5","16","37",68,"23.5","54.4"
170,"Ashland","66","127",183,"36.1","69.4","40","42","0",171,"0","156",175,"89.1","230","589",962,"23.9","61.2","97","278",499,"19.4","55.7","133","311",463,"28.7","67.2"
182,"Ashwaubenon","50","138",252,"19.8","54.8","52","55","1",269,"0.4","236",257,"91.8","233","787",1401,"16.6","56.2","100","342",691,"14.5","49.5","133","445",710,"18.7","62.7"
196,"Athens","10","32",47,"21.3","68.1","45","48","0",52,"0","51",52,"98.1","45","100",136,"33.1","73.5","30","51",72,"41.7","70.8","15","49",64,"23.4","76.6"
203,"Auburndale","11","33",64,"17.2","51.6","58","55","0",51,"0","47",49,"95.9","57","200",373,"15.3","53.6","22","87",190,"11.6","45.8","35","113",183,"19.1","61.7"
217,"Augusta","16","26",41,"39","63.4","40","48","0",41,"0","38",42,"90.5","65","183",289,"22.5","63.3","19","71",123,"15.4","57.7","46","112",166,"27.7","67.5"
231,"Baldwin-Woodville Area","21","48",111,"18.9","43.2","52","55","1",118,"0.8","113",116,"97.4","69","325",738,"9.3","44","23","137",378,"6.1","36.2","46","188",360,"12.8","52.2"
238,"Unity","20","48",60,"33.3","80","40","36","1",71,"1.4","68",71,"95.8","88","254",422,"20.9","60.2","44","128",205,"21.5","62.4","44","126",217,"20.3","58.1"
245,"Bangor","15","36",59,"25.4","61","52","48","0",38,"0","35",36,"97.2","18","101",250,"7.2","40.4","6","26",120,"5","21.7","12","75",130,"9.2","57.7"
280,"Baraboo","75","155",263,"28.5","58.9","45","48","2",225,"0.9","176",205,"85.9","249","688",1249,"19.9","55.1","119","351",632,"18.8","55.5","130","337",617,"21.1","54.6"
287,"Barneveld","5","11",39,"12.8","28.2","64","61","0",29,"0","28",28,"100","26","91",202,"12.9","45","17","48",102,"16.7","47.1","9","43",100,"9","43"
308,"Barron Area","39","60",96,"40.6","62.5","40","36","19",127,"15","105",119,"88.2","115","319",564,"20.4","56.6","48","139",266,"18","52.3","67","180",298,"22.5","60.4"
315,"Bayfield","19","27",36,"52.8","75","40","31","0",30,"0","26",27,"96.3","28","94",149,"18.8","63.1","8","38",72,"11.1","52.8","20","56",77,"26","72.7"
336,"Beaver Dam Unified","77","148",272,"28.3","54.4","45","48","10",323,"3.1","245",279,"87.8","350","819",1504,"23.3","54.5","122","355",745,"16.4","47.7","228","464",759,"30","61.1"
350,"Belleville","19","39",73,"26","53.4","52","55","0",57,"0","55",57,"96.5","64","188",411,"15.6","45.7","29","86",194,"14.9","44.3","35","102",217,"16.1","47"
364,"Belmont Community","Redacted","Redacted",18,"Redacted","Redacted","Redacted","Redacted","0",29,"0","25",26,"96.2","37","111",180,"20.6","61.7","8","48",93,"8.6","51.6","29","63",87,"33.3","72.4"
413,"Beloit","246","373",485,"50.7","76.9","27","31","37",566,"6.5","435",493,"88.2","1180","2261",3016,"39.1","75","587","1136",1525,"38.5","74.5","593","1125",1491,"39.8","75.5"
422,"Beloit Turner","20","57",104,"19.2","54.8","52","55","0",122,"0","113",122,"92.6","111","380",690,"16.1","55.1","60","192",332,"18.1","57.8","51","188",358,"14.2","52.5"
427,"Benton","Redacted","Redacted",19,"Redacted","Redacted","Redacted","Redacted","0",30,"0","27",28,"96.4","3","35",83,"3.6","42.2","1","18",43,"2.3","41.9","2","17",40,"5","42.5"
434,"Berlin Area","51","92",128,"39.8","71.9","40","36","0",152,"0","142",152,"93.4","130","397",653,"19.9","60.8","55","177",322,"17.1","55","75","220",331,"22.7","66.5"
