"county_name","count_act_ela_below_basic","count_act_ela_basic_or_below_basic","count_act_students","percent_act_ela_below_basic","percent_act_ela_basic_or_below_basic","average_act_english_percentile","average_act_reading_percentile","count_12th_grade_ell","count_12th_graders","percent_12th_grade_ell","count_graduates","count_in_grad_cohort","percent_graduates","count_wsas_ela_below_basic","count_wsas_ela_basic_or_below_basic","count_wsas_students","percent_wsas_ela_below_basic","percent_wsas_ela_basic_or_below_basic"
"Adams","43","89",125,"34.4","71.2","36","36","0",122,"0","107",117,"91.5","239","456",662,"36.1","68.9"
"Ashland","41","118",195,"21","60.5","40","42","0",234,"0","187",210,"89","303","758",1168,"25.9","64.9"
"Barron","149","346",565,"26.4","61.2","40","42","20",588,"3.4","479",542,"88.4","594","1762",3173,"18.7","55.5"
"Bayfield","38","78",133,"28.6","58.6","40","42","0",141,"0","74",134,"55.2","138","365",635,"21.7","57.5"
"Brown","762","1708",3128,"24.4","54.6","45","48","117",3275,"3.6","2795",3097,"90.2","4326","10921",19117,"22.6","57.1"
"Buffalo","29","77",137,"21.2","56.2","45","48","0",157,"0","146",152,"96.1","131","448",889,"14.7","50.4"
"Burnett","81","177",274,"29.6","64.6","40","42","3",322,"0.9","209",270,"77.4","214","567",965,"22.2","58.8"
"Calumet","64","161",278,"23","57.9","45","48","3",316,"0.9","300",318,"94.3","277","878",1677,"16.5","52.4"
"Chippewa","161","407",669,"24.1","60.8","40","48","3",678,"0.4","524",670,"78.2","687","2204",3915,"17.5","56.3"
"Clark","121","233",361,"33.5","64.5","40","42","10",382,"2.6","357",371,"96.2","450","1300",2056,"21.9","63.2"
"Columbia","128","353",681,"18.8","51.8","45","48","9",748,"1.2","522",717,"72.8","733","2228",3942,"18.6","56.5"
"Crawford","26","79",154,"16.9","51.3","45","48","0",174,"0","166",173,"96","142","509",913,"15.6","55.8"
"Dane","975","2344",5399,"18.1","43.4","58","61","274",6243,"4.4","4694",5535,"84.8","6683","16826",32790,"20.4","51.3"
"Dodge","121","352",621,"19.5","56.7","45","48","12",613,"2","523",577,"90.6","618","1945",3533,"17.5","55.1"
"Door","41","136",287,"14.3","47.4","58","55","3",303,"1","271",288,"94.1","180","713",1506,"12","47.3"
"Douglas","109","247",456,"23.9","54.2","45","48","1",488,"0.2","389",463,"84","568","1526",2615,"21.7","58.4"
"Dunn","83","207",384,"21.6","53.9","52","48","9",509,"1.8","440",479,"91.9","578","1574",2613,"22.1","60.2"
"Eau Claire","147","433",945,"15.6","45.8","52","55","19",1113,"1.7","894",1030,"86.8","1049","3225",6063,"17.3","53.2"
"Florence","7","25",30,"23.3","83.3","36","42","0",32,"0","25",30,"83.3","26","85",158,"16.5","53.8"
"Fond du Lac","273","680",1102,"24.8","61.7","40","42","15",1108,"1.4","837",1049,"79.8","1117","3473",6514,"17.1","53.3"
"Forest","37","77",101,"36.6","76.2","36","36","0",125,"0","105",116,"90.5","145","397",652,"22.2","60.9"
"Grant","122","300",503,"24.3","59.6","45","48","1",542,"0.2","511",536,"95.3","508","1650",2965,"17.1","55.6"
"Green","86","234",401,"21.4","58.4","45","48","3",399,"0.8","373",394,"94.7","459","1386",2431,"18.9","57"
"Green Lake","67","142",252,"26.6","56.3","45","48","2",276,"0.7","256",268,"95.5","226","718",1281,"17.6","56"
"Iowa","46","124",248,"18.5","50","52","55","0",264,"0","251",259,"96.9","270","815",1479,"18.3","55.1"
"Iron","18","36",51,"35.3","70.6","40","42","0",66,"0","64",66,"97","34","138",335,"10.1","41.2"
