"school_district_code","school_district","count_act_ela_below_basic","count_act_ela_basic_or_below_basic","count_act_students","percent_act_ela_below_basic","percent_act_ela_basic_or_below_basic","average_act_english_percentile","average_act_reading_percentile","count_12th_grade_ell","count_12th_graders","percent_12th_grade_ell","count_graduates","count_in_grad_cohort","percent_graduates","count_wsas_ela_below_basic","count_wsas_ela_basic_or_below_basic","count_wsas_students","percent_wsas_ela_below_basic","percent_wsas_ela_basic_or_below_basic"
7,"Abbotsford","18","30",44,"40.9","68.2","40","36","8",50,"16","48",50,"96","92","218",309,"29.8","70.6"
14,"Adams-Friendship Area","43","89",125,"34.4","71.2","36","36","0",122,"0","107",117,"91.5","239","456",662,"36.1","68.9"
63,"Albany","9","18",29,"31","62.1","45","42","1",23,"4.3","17",22,"77.3","41","95",147,"27.9","64.6"
70,"Algoma","7","32",66,"10.6","48.5","58","55","0",58,"0","46",54,"85.2","37","147",264,"14","55.7"
84,"Alma","Redacted","Redacted",15,"Redacted","Redacted","Redacted","Redacted","0",26,"0","24",25,"96","14","63",106,"13.2","59.4"
91,"Alma Center","10","25",42,"23.8","59.5","52","48","3",53,"5.7","50",53,"94.3","74","171",268,"27.6","63.8"
105,"Almond-Bancroft","8","15",22,"36.4","68.2","45","42","3",35,"8.6","33",33,"100","39","112",173,"22.5","64.7"
112,"Altoona","11","50",109,"10.1","45.9","58","61","0",105,"0","94",103,"91.3","106","339",681,"15.6","49.8"
119,"Amery","18","57",102,"17.6","55.9","45","55","0",131,"0","118",129,"91.5","70","315",690,"10.1","45.7"
126,"Tomorrow River","21","43",76,"27.6","56.6","52","48","0",73,"0","71",74,"95.9","45","218",488,"9.2","44.7"
140,"Antigo Unified","64","133",191,"33.5","69.6","36","42","0",203,"0","167",184,"90.8","236","626",1020,"23.1","61.4"
147,"Appleton Area","249","605",1182,"21.1","51.2","45","55","35",1302,"2.7","1078",1212,"88.9","1563","4018",6854,"22.8","58.6"
154,"Arcadia","26","62",81,"32.1","76.5","36","31","5",89,"5.6","85",88,"96.6","140","334",550,"25.5","60.7"
161,"Argyle","Redacted","Redacted",18,"Redacted","Redacted","Redacted","Redacted","0",28,"0","27",28,"96.4","31","89",129,"24","69"
170,"Ashland","30","91",161,"18.6","56.5","40","48","0",178,"0","157",169,"92.9","253","623",966,"26.2","64.5"
182,"Ashwaubenon","41","136",261,"15.7","52.1","52","48","2",275,"0.7","244",257,"94.9","253","739",1385,"18.3","53.4"
196,"Athens","16","38",51,"31.4","74.5","36","42","0",50,"0","48",48,"100","39","81",124,"31.5","65.3"
